client_id,path,sentence,up_votes,down_votes,age,gender,accent,locale,segment
1768260de2324241bd0915ec917d61a4b07b49edccae1e5ef88af3f8f4ae7fc5cb604b3d8b640ab12ff1377140624b5b86f42918d075601684d8ea5c61468973,common_voice_en_18933160.wav,"The Servant sends Leonardo away, and the guests begin arriving for the wedding.",2,1,fourties,male,us,en,
3c9bf74c9a6d857db10df743c41824720dd930feb3cfc5990db870204288b9132c0fdaf0f91aa53795c242299b5c1da439ed28fdbad21bbc6999674ee2cdd49c,common_voice_en_18890550.wav,"It has a semi-prehensile tail, needle sharp teeth and a long snout.",2,0,twenties,male,singapore,en,
2696eaab6e3c1b31730749713d924d5a9cd05143085702ced4db3cc4ecf36f08b9ba2282eda5fbb905279b631b10bd1f98a109e9af6c28598294fd8489ad5343,common_voice_en_17765901.wav,God bless my soul!,2,0,twenties,male,us,en,
4e0247fee43516a5a24d19a81ee69527a1e0a296bf0f45954c1435770c249363d525848e714b8ecc95519aea49a90d62d4097c5eeb30e1fdbf6634aac75f74c0,common_voice_en_78528.wav,The city was still sleeping.,3,0,thirties,female,us,en,
616dd7b6fa88cc879e4b047c3df6972ad90782917f90869b0aa5b696fc3faf8004c069a087b9a7174823f46c704eb00383d814ec03d2851fb962cd0b1556543c,common_voice_en_22060973.wav,one,3,1,twenties,male,indian,en,Benchmark
700a70aa3fb4824985569b092addf22cdd887c1ca46272a29f2b289d41cd173bf869e244e5745ca3aea5386db8026582c7642f6f3523c87cc043a6a76a6cde7b,common_voice_en_17250887.wav,"Look, the seam is now broken, it couldn't stand the jerk.",2,0,twenties,male,indian,en,
84bdbf953b63e54d0dc33d59776f4eec027de249cdde073162db89687fd45bec38d2464f284c21ec63758c551e217d8abceee171a197adb41ab39044aeb0546b,common_voice_en_19105945.wav,"When Jordan becomes the Spectre, he removes the Star Sapphire persona from Ferris.",2,0,fourties,male,indian,en,
929a4ec7cedea9ce9aee336ba4fcd1d9a40841878ee2a1ea1284c35afdf838c9176f13425eca2f8b027078b4654aa196344fd3f283536a20fadc7d00c334d545,common_voice_en_17256256.wav,How do I know?,2,0,twenties,male,indian,en,
0f8a86e326c1da999a56cc826d683401c243fb4713e7993ff2c56acdf9d552fcc821f301d54ee4529a67a0793c1f3a7247ecca51ed54a44849a9339d9faa1d6c,common_voice_en_17258665.wav,"Listen and listen to me very closely, we call them lifts, not elevators.",2,0,twenties,male,us,en,
17ab3c32d01dc6ea41090f0dd5e0148e184b83400971f745bdd1c4ce53f842edcab1c8a716c402a1851a6e61929143f78fb4f27190e225c52b7e59a02e2a783e,common_voice_en_17770420.wav,We usually parked our motorcycles near to this building.,2,0,twenties,male,us,en,
182a17e56f47df6aaa7c4291376caf4c57698ead0fad905b712b35e23dd87f0480f3a55a6c377013e35d62b9fd4476e9fec760fe1087bea69b0d3e9f6dda9299,common_voice_en_20893631.wav,The nearest towns are Stoke-on-Trent and Newcastle-under-Lyme.,2,1,twenties,male,us,en,
18af2ec21768e9bbf50a55d156e29afd5d6fa19d7581bf5e2fe58cacde2ca2811065fd7168ae060a4697258176a5ae6b9cf3d03434f9155d40ec9ef528c692be,common_voice_en_18756633.wav,The band released a soundtrack album.,2,0,thirties,male,us,en,
1afbabc2cec4434915fcaf053dca65fb8d514c0f8caeec1ddee6e5f9c5e2da787fe7344cf33c44eed3e1b294653a0270eeccfed001cfb5d0fc7954984af922ae,common_voice_en_17816777.wav,He was not there.,2,1,teens,male,us,en,
216e8d2407517c16977cbdf1cc7fdd81d9ca3ae55777178936101626129e4303cc9a3c6a984d6742556a6b5b5af9499ee270427314866e7d223ddbb1eb7fc2df,common_voice_en_581754.wav,But everything had changed.,2,0,fourties,male,us,en,
3a44840ab2c31abf6d00fa6e044d3514ce4cdc6033a49894c9967ebd78307b576f85151c4c7410a2280edc067d4c21d99d155650be93d5576bd54eef693c2df4,common_voice_en_19175551.wav,"""Obake karuta"" is an obsolete variation of Iroha Karuta unique to Tokyo.",2,0,twenties,female,indian,en,
4372bfbfa7cbf2844f09a2cd0447567f04e74370c097d120bd3580b6155d09cde93f4e9404fa0101e42bd74ed3e26d2e06e118f2be9bcea84e13292f57d49b78,common_voice_en_677891.wav,in parliament Antiquity- Even the women knew how to be silent,2,0,thirties,male,us,en,
76cc764a181ef558fc71e6d00be531fd5f6d8c6256c43730b29549439ae389a87ac580a3ffc1a59c52541024d6c3c4f6b07a612a5ddbdf8ee601912f86c0083a,common_voice_en_22953446.wav,The fund provides credit for Liberian entrepreneurs.,2,0,twenties,male,us,en,
88f0595169591be06c591171253d296f47b3accb00076b907f060a05eaff71ee37b58fee019efbb0c046c6790e0df74b7657da351eafd22d077b04a4da921ed9,common_voice_en_17828252.wav,A cold dip restores health and zest.,2,0,fourties,male,other,en,
8fba407003c85948c039eb3695ec8a582d2aad7d8ee67a3d69e2e6420cde2d34276f7069ad82a0163e08b07ca41c64fbe404150304187973f5766a86243e4312,common_voice_en_19063148.wav,Hail has occurred in the town but is rare.,2,0,teens,male,england,en,
997b5388020f2e9257422efd38f791ae34353f0eadc08f825015ea4b6263e071b499de7bbd9f28b047ba299d7d1a06d0591a88caff40e21d1c0eece3db1bd55a,common_voice_en_678304.wav,Leave now and you will arrive on time.,2,0,eighties,male,canada,en,
abc1fba01ffc57ed4d99516e32864038c7cb27e9c21501fff8504e9d8a29def879e6f55ab2fbd192f68418e5793af6009b2001c974bb5367b6da9dd4d00e01a2,common_voice_en_19649568.wav,Takahashi has continued to supervise the creation of Yu-Gi-Oh!,3,2,twenties,male,indian,en,
ce8f9386c46b8f58605b56048cfd4c0d289bbf1517bb531b485c094a8b1227ec250f59f60d996c4be5f9f6e0b72ce66fe67064a26c52331f10d69e9360589658,common_voice_en_20491390.wav,The government is aggressively pursuing education reform to overcome this problem.,2,0,twenties,female,england,en,
db4db446bf44fecaec36fd455d88c0c9a5c15131a84632451e3af48ce0ebe13c9d4df704aa7cb0675b2f4bf1f6500d91f5ae7894917aed6680735532f765816e,common_voice_en_17899695.wav,"If you have an issue in the workplace, you are encouraged to contact the HR department.",2,0,teens,male,indian,en,
ee9f0acc2cf71b7548304731fcb091c50cf6c805c5f3f452374da6b07eb1c1c6f8225ed44006289e96294bcd32c5df5bf0d6231131bdfb3082b3099168f68c1a,common_voice_en_18990243.wav,Mary's and Waterford Valley.,2,0,twenties,male,england,en,
ff8e0fc1ecae9802109e3201e6aaa1e1b64977b93c7574fbd5e74d31889bfda217e584580f69215abf39cc9ad75116e499f5c8123d9f5995c244251d323e7031,common_voice_en_18340655.wav,"Besides, that noise makes me deaf.",2,0,thirties,male,us,en,
0e0a583b2af399af346dc48bb1909e5f3e101f7a25fa02489a27be369a747bbb4aaf4c761354a308362b9d85c850377b5f5df73aaaf2399ef6f6f280ce2aaa43,common_voice_en_17394719.wav,"After that foul, the whole stadium was yelling angry things.",2,1,twenties,male,other,en,
2e8fe4cd2a517cc6a11a2c1bb529b1b69f4bc02b7755a137be2f53296ce2c94f0d3a3b6d33da20c70f6f53812257c0ace92259e51de57217fe56ad4fe1c5a527,common_voice_en_21274493.wav,Seawater reached the battery compartment and chlorine began to rise from the battery well.,2,0,teens,male,indian,en,
427dce4b270c915b3e8c42e62aff27b19f76e4d197a02c8426dab51d0851ea6b9272af59663be4d72f2f7e3cbdc052e4930ab3a6e3234301f67599a8b194cee2,common_voice_en_204777.wav,I'm going into business for myself.,2,0,fourties,male,england,en,
4ee9e697184b487d412b36e6a40c87ff920eac4911df956e9877a76a54e550291730dd04104405ea12f5b4fe1033efac9b225c58b94f1f69fd1071b9590cc4b1,common_voice_en_19051206.wav,The office also coordinates and facilitates the academic program review process.,2,0,twenties,male,us,en,
5a300674bcdc3111ff676e09459f91cd7e33c5ae19c19b9ebc1d3b74ce1eb4b61ccbd05ec8d0983539fcaaeccadd0a55c0470870dc4c1b70351d3ab44128c4f0,common_voice_en_22282341.wav,six,2,0,twenties,male,hongkong,en,Benchmark
